file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,
human_147.py,human,Human,100,1,1,0,0,0,4,4,4,4,1,1,1,,,
human_148.py,human,Human,100,1,1,0,0,0,7,7,3,7,1,1,1,,,
human_149.py,human,Human,100,2,2,0,0,0,4,4,4,4,2,2,1,,,
human_15.py,human,Human,100,2,2,4.75,0.5,2.38,10,8,8,8,3,3,1,,,
human_150.py,human,Human,58.47,7,7,41.21,2,82.42,22,22,22,22,7,7,1,,,
human_151.py,human,Human,89.53,4,4,25.27,1.2,30.32,12,11,11,11,4,4,1,,,
human_152.py,human,Human,100,1,1,0,0,0,8,8,3,8,1,1,1,,,
human_153.py,human,Human,62.64,6,6,36,1.33,48,19,15,15,15,6,6,1,,,
human_154.py,human,Human,93.91,1,1,36,1.33,48,12,10,7,10,1,1,1,,,
human_155.py,human,Human,80.42,6,6,27,1,27,20,18,18,18,6,6,1,,,
human_156.py,human,Human,64.82,4,4,30,1.8,54,13,13,13,13,4,4,1,,,
human_157.py,human,Human,58.71,8,8,98.1,3.33,327,16,16,16,16,8,8,1,,,
human_158.py,human,Human,61.02,8,8,112.59,4.5,506.65,16,16,12,16,8,8,1,,,
human_159.py,human,Human,85.8,7,7,48.11,2.5,120.26,15,13,11,13,7,7,1,,,
human_16.py,human,Human,77.88,3,3,4.75,0.5,2.38,10,9,6,9,3,3,1,,,
human_160.py,human,Human,70.06,5,5,11.61,1,11.61,13,13,10,13,5,5,1,,,
human_161.py,human,Human,76.57,1,1,4.75,0.5,2.38,27,26,24,26,3,5,2,,,
human_162.py,human,Human,68.32,3,3,22.46,1,22.46,10,10,10,10,3,3,1,,,
human_163.py,human,Human,98.12,1,1,49.83,2.14,106.78,8,7,7,7,1,1,1,,,
human_164.py,human,Human,93.83,5,5,36,1.33,48,12,9,10,9,5,5,1,,,
human_165.py,human,Human,100,1,1,0,0,0,8,6,6,6,1,1,1,,,
human_166.py,human,Human,62.86,8,8,38.05,2,76.11,38,38,14,38,8,8,1,,,
human_167.py,human,Human,64.16,5,5,112,4.09,458.18,12,12,9,12,3,3,1,,,
human_168.py,human,Human,85.2,4,4,118.59,3.6,426.93,18,14,18,14,4,4,1,,,
human_169.py,human,Human,74.22,4,4,12,0.67,8,29,28,21,28,4,4,1,,,
human_17.py,human,Human,79.74,2,2,4.75,0.5,2.38,5,5,5,5,2,2,1,,,
human_170.py,human,Human,100,3,3,0,0,0,8,8,3,8,3,3,1,,,
human_171.py,human,Human,68.65,11,11,24,1.5,36,43,41,33,41,11,11,1,,,
